t,x,y,z
3300000,0,19.660959319723322,9.81
3310000,0,19.665291522492776,9.81
3320000,0,19.669551503834455,9.81
3330000,0,19.673739649559653,9.81
3340000,0,19.677856343401707,9.81
3350000,0,19.681901967013548,9.81
3360000,0,19.685876899965862,9.81
3370000,0,19.68978151974569,9.81
3380000,0,19.693616201755553,9.81
3390000,0,19.69738131931312,9.81
3400000,0,19.701077243651277,9.81
3410000,0,19.704704343918657,9.81
3420000,0,19.708262987180664,9.81
3430000,0,19.711753538420837,9.81
3440000,0,19.715176360542678,9.81
3450000,0,19.718531814371847,9.81
3460000,0,19.721820258658735,9.81
3470000,0,19.725042050081399,9.81
3480000,0,19.728197543248857,9.81
3490000,0,19.73128709070469,9.81
3500000,0,19.734311042931004,9.81
3510000,0,19.737269748352684,9.81
3520000,0,19.740163553341926,9.81
3530000,0,19.7429928022231,9.81
3540000,0,19.745757837277871,9.81
3550000,0,19.748458998750539,9.81
3560000,0,19.75109662485373,9.81
3570000,0,19.753671051774241,9.81
3580000,0,19.756182613679158,9.81
3590000,0,19.758631642722193,9.81
3600000,0,19.761018469050271,9.81
3610000,0,19.763343420810216,9.81
3620000,0,19.765606824155789,9.81
3630000,0,19.767809003254797,9.81
3640000,0,19.76995028029641,9.81
3650000,0,19.772030975498687,9.81
3660000,0,19.774051407116204,9.81
3670000,0,19.776011891447936,9.81
3680000,0,19.77791274284515,9.81
3690000,0,19.779754273719597,9.81
3700000,0,19.781536794551709,9.81
3710000,0,19.783260613899014,9.81
3720000,0,19.784926038404617,9.81
3730000,0,19.786533372805835,9.81
3740000,0,19.788082919942923,9.81
3750000,0,19.789574980767938,9.81
3760000,0,19.791009854353621,9.81
3770000,0,19.792387837902485,9.81
3780000,0,19.793709226755894,9.81
3790000,0,19.794974314403298,9.81
3800000,0,19.796183392491507,9.81
3810000,0,19.797336750834017,9.81
3820000,0,19.798434677420509,9.81
3830000,0,19.799477458426246,9.81
3840000,0,19.800465378221698,9.81
3850000,0,19.801398719382117,9.81
3860000,0,19.802277762697198,9.81
3870000,0,19.803102787180805,9.81
3880000,0,19.803874070080688,9.81
3890000,0,19.804591886888318,9.81
3900000,0,19.805256511348684,9.81
3910000,0,19.80586821547017,9.81
3920000,0,19.80642726953446,9.81
3930000,0,19.806933942106422,9.81
3940000,0,19.807388500044105,9.81
3950000,0,19.807791208508661,9.81
3960000,0,19.808142330974345,9.81
3970000,0,19.808442129238522,9.81
3980000,0,19.808690863431675,9.81
3990000,0,19.808888792027414,9.81
4000000,0,19.809036171852515,9.81
4010000,0,19.809133258096963,9.81
4020000,0,19.809180304323966,9.81
4030000,0,19.809177562480016,9.81
4040000,0,19.809125282904894,9.81
4050000,0,19.809023714341745,9.81
4060000,0,19.80887310394705,9.81
4070000,0,19.808673697300691,9.81
4080000,0,19.808425738415924,9.81
4090000,0,19.808129469749382,9.81
4100000,0,19.807785132211063,9.81
4110000,0,19.807392965174298,9.81
4120000,0,19.806953206485687,9.81
4130000,0,19.806466092475034,9.81
4140000,0,19.80593185796527,9.81
4150000,0,19.805350736282307,9.81
4160000,0,19.804722959264964,9.81
4170000,0,19.804048757274739,9.81
4180000,0,19.803328359205675,9.81
4190000,0,19.802561992494123,9.81
4200000,0,19.801749883128526,9.81
4210000,0,19.800892255659125,9.81
4220000,0,19.79998933320767,9.81
4230000,0,19.799041337477099,9.81
4240000,0,19.798048488761179,9.81
4250000,0,19.797011005954079,9.81
4260000,0,19.795929106559981,9.81
4270000,0,19.794803006702598,9.81
4280000,0,19.793632921134645,9.81
4290000,0,19.792419063247348,9.81
4300000,0,19.791161645079853,9.81
4310000,0,19.789860877328593,9.81
4320000,0,19.788516969356657,9.81
4330000,0,19.787130129203078,9.81
4340000,0,19.785700563592126,9.81
4350000,0,19.784228477942495,9.81
4360000,0,19.782714076376529,9.81
4370000,0,19.781157561729344,9.81
4380000,0,19.779559135557903,9.81
4390000,0,19.777918998150145,9.81
4400000,0,19.776237348533893,9.81
4410000,0,19.774514384485911,9.81
4420000,0,19.772750302540775,9.81
4430000,0,19.770945297999791,9.81
4440000,0,19.769099564939779,9.81
4450000,0,19.767213296221911,9.81
4460000,0,19.76528668350041,9.81
4470000,0,19.763319917231275,9.81
4480000,0,19.761313186680923,9.81
4490000,0,19.759266679934758,9.81
4500000,0,19.757180583905782,9.81
4510000,0,19.755055084343049,9.81
4520000,0,19.752890365840148,9.81
4530000,0,19.750686611843626,9.81
4540000,0,19.748444004661316,9.81
4550000,0,19.746162725470686,9.81
4560000,0,19.743842954327089,9.81
4570000,0,19.741484870171981,9.81
4580000,0,19.73908865084109,9.81
4590000,0,19.736654473072537,9.81
4600000,0,19.734182512514931,9.81
4610000,0,19.731672943735351,9.81
4620000,0,19.729125940227341,9.81
4630000,0,19.726541674418847,9.81
4640000,0,19.723920317680069,9.81
4650000,0,19.721262040331307,9.81
4660000,0,19.71856701165073,9.81
4670000,0,19.715835399882113,9.81
4680000,0,19.713067372242506,9.81
4690000,0,19.710263094929864,9.81
4700000,0,19.70742273313066,9.81
4710000,0,19.704546451027358,9.81
4720000,0,19.701634411805966,9.81
4730000,0,19.698686777663411,9.81
4740000,0,19.695703709814975,9.81
4750000,0,19.692685368501586,9.81
4760000,0,19.689631912997161,9.81
4770000,0,19.686543501615791,9.81
4780000,0,19.683420291718971,9.81
4790000,0,19.680262439722728,9.81
4800000,0,19.677070101104718,9.81
4810000,0,19.673843430411281,9.81
4820000,0,19.670582581264426,9.81
4830000,0,19.667287706368793,9.81
4840000,0,19.663958957518567,9.81
4850000,0,19.660596485604295,9.81
4860000,0,19.657200440619746,9.81
4870000,0,19.653770971668632,9.81
4880000,0,19.65030822697134,9.81
4890000,0,19.646812353871592,9.81
4900000,0,19.643283498843076,9.81
4910000,0,19.639721807496002,9.81
4920000,0,19.636127424583645,9.81
4930000,0,19.63250049400882,9.81
4940000,0,19.628841158830305,9.81
4950000,0,19.625149561269254,9.81
4960000,0,19.621425842715514,9.81
4970000,0,19.617670143733932,9.81
4980000,0,19.613882604070618,9.81
4990000,0,19.610063362659133,9.81
5000000,0,19.606212557626659,9.81
5010000,0,19.602330326300109,9.81
5020000,0,19.598416805212217,9.81
5030000,0,19.59447213010754,9.81
