t_usec,height
6156000,0.027415361532504946
6156000,0.027415361532504946
6156000,0.027415361532504946
6160000,0.02741647374107082
6160000,0.02741647374107082
6160000,0.02741647374107082
6164000,0.027417583889061854
6164000,0.027417583889061854
6164000,0.027417583889061854
6168000,0.027418691980912228
6168000,0.027418691980912228
6168000,0.027418691980912228
6172000,0.027419798021045896
6172000,0.027419798021045896
6172000,0.027419798021045896
6176000,0.027420902013876591
6176000,0.027420902013876591
6176000,0.027420902013876591
6180000,0.02742200396380786
6180000,0.02742200396380786
6180000,0.02742200396380786
6184000,0.027423103875233092
6184000,0.027423103875233092
6184000,0.027423103875233092
6188000,0.027424201752535522
6188000,0.027424201752535522
6188000,0.027424201752535522
6192000,0.027425297600088289
6192000,0.027425297600088289
6192000,0.027425297600088289
6196000,0.027426391422254427
6196000,0.027426391422254427
6196000,0.027426391422254427
6200000,0.027427483223386902
6200000,0.027427483223386902
6200000,0.027427483223386902
6204000,0.027428573007828645
6204000,0.027428573007828645
6204000,0.027428573007828645
6208000,0.027429660779912563
6208000,0.027429660779912563
6208000,0.027429660779912563
6212000,0.027430746543961566
6212000,0.027430746543961566
6212000,0.027430746543961566
6216000,0.027431830304288595
6216000,0.027431830304288595
6216000,0.027431830304288595
6220000,0.027432912065196637
6220000,0.027432912065196637
6220000,0.027432912065196637
6224000,0.02743399183097877
6224000,0.02743399183097877
6224000,0.02743399183097877
6228000,0.027435069605918148
6228000,0.027435069605918148
6228000,0.027435069605918148
6232000,0.027436145394288063
6232000,0.027436145394288063
6232000,0.027436145394288063
6236000,0.027437219200351956
6236000,0.027437219200351956
6236000,0.027437219200351956
6240000,0.027438291028363433
6240000,0.027438291028363433
6240000,0.027438291028363433
6244000,0.027439360882566287
6244000,0.027439360882566287
6244000,0.027439360882566287
6248000,0.02744042876719454
6248000,0.02744042876719454
6248000,0.02744042876719454
6252000,0.027441494686472438
6252000,0.027441494686472438
6252000,0.027441494686472438
6256000,0.02744255864461451
6256000,0.02744255864461451
6256000,0.02744255864461451
6260000,0.027443620645825555
6260000,0.027443620645825555
6260000,0.027443620645825555
6264000,0.027444680694300692
6264000,0.027444680694300692
6264000,0.027444680694300692
6268000,0.027445738794225363
6268000,0.027445738794225363
6268000,0.027445738794225363
6272000,0.027446794949775373
6272000,0.027446794949775373
6272000,0.027446794949775373
6276000,0.027447849165116903
6276000,0.027447849165116903
6276000,0.027447849165116903
6280000,0.027448901444406537
6280000,0.027448901444406537
6280000,0.027448901444406537
6284000,0.027449951791791282
6284000,0.027449951791791282
6284000,0.027449951791791282
6288000,0.027451000211408595
6288000,0.027451000211408595
6288000,0.027451000211408595
6292000,0.027452046707386397
6292000,0.027452046707386397
6292000,0.027452046707386397
6296000,0.027453091283843108
6296000,0.027453091283843108
6296000,0.027453091283843108
6300000,0.02745413394488766
6300000,0.02745413394488766
6300000,0.02745413394488766
6304000,0.02745517469461952
6304000,0.02745517469461952
6304000,0.02745517469461952
6308000,0.027456213537128724
6308000,0.027456213537128724
6308000,0.027456213537128724
6312000,0.027457250476495887
6312000,0.027457250476495887
6312000,0.027457250476495887
6316000,0.027458285516792226
6316000,0.027458285516792226
6316000,0.027458285516792226
6320000,0.027459318662079582
6320000,0.027459318662079582
6320000,0.027459318662079582
6324000,0.027460349916410463
6324000,0.027460349916410463
6324000,0.027460349916410463
6328000,0.027461379283828032
6328000,0.027461379283828032
6328000,0.027461379283828032
6332000,0.027462406768366157
6332000,0.027462406768366157
6332000,0.027462406768366157
6336000,0.027463432374049412
6336000,0.027463432374049412
6336000,0.027463432374049412
6340000,0.027464456104893131
6340000,0.027464456104893131
6340000,0.027464456104893131
6344000,0.027465477964903375
6344000,0.027465477964903375
6344000,0.027465477964903375
6348000,0.027466497958077023
6348000,0.027466497958077023
6348000,0.027466497958077023
6352000,0.027467516088401735
6352000,0.027467516088401735
6352000,0.027467516088401735
6356000,0.02746853235985601
6356000,0.02746853235985601
6356000,0.02746853235985601
6360000,0.027469546776409188
6360000,0.027469546776409188
6360000,0.027469546776409188
6364000,0.02747055934202149
6364000,0.02747055934202149
6364000,0.02747055934202149
6368000,0.027471570060644011
6368000,0.027471570060644011
6368000,0.027471570060644011
6372000,0.027472578936218784
6372000,0.027472578936218784
6372000,0.027472578936218784
6376000,0.027473585972678759
6376000,0.027473585972678759
6376000,0.027473585972678759
6380000,0.027474591173947845
6380000,0.027474591173947845
6380000,0.027474591173947845
6384000,0.02747559454394094
6384000,0.02747559454394094
6384000,0.02747559454394094
6388000,0.027476596086563929
6388000,0.027476596086563929
6388000,0.027476596086563929
6392000,0.027477595805713725
6392000,0.027477595805713725
6392000,0.027477595805713725
6396000,0.02747859370527829
6396000,0.02747859370527829
6396000,0.02747859370527829
6400000,0.02747958978913664
6400000,0.02747958978913664
6400000,0.02747958978913664
6404000,0.027480584061158879
6404000,0.027480584061158879
6404000,0.027480584061158879
6408000,0.027481576525206219
6408000,0.027481576525206219
6408000,0.027481576525206219
6412000,0.027482567185131007
6412000,0.027482567185131007
6412000,0.027482567185131007
6416000,0.027483556044776727
6416000,0.027483556044776727
6416000,0.027483556044776727
6420000,0.027484543107978036
6420000,0.027484543107978036
6420000,0.027484543107978036
6424000,0.027485528378560789
6424000,0.027485528378560789
6424000,0.027485528378560789
6428000,0.027486511860342046
6428000,0.027486511860342046
6428000,0.027486511860342046
6432000,0.027487493557130108
6432000,0.027487493557130108
6432000,0.027487493557130108
6436000,0.027488473472724512
6436000,0.027488473472724512
6436000,0.027488473472724512
6440000,0.027489451610916094
6440000,0.027489451610916094
6440000,0.027489451610916094
6444000,0.027490427975486963
6444000,0.027490427975486963
6444000,0.027490427975486963
6448000,0.027491402570210564
6448000,0.027491402570210564
6448000,0.027491402570210564
6452000,0.027492375398851666
6452000,0.027492375398851666
6452000,0.027492375398851666
6456000,0.027493346465166407
6456000,0.027493346465166407
6456000,0.027493346465166407
6460000,0.027494315772902282
6460000,0.027494315772902282
6460000,0.027494315772902282
6464000,0.027495283325798207
6464000,0.027495283325798207
6464000,0.027495283325798207
6468000,0.027496249127584506
6468000,0.027496249127584506
6468000,0.027496249127584506
6472000,0.027497213181982949
6472000,0.027497213181982949
6472000,0.027497213181982949
6476000,0.027498175492706754
6476000,0.027498175492706754
6476000,0.027498175492706754
6480000,0.02749913606346063
6480000,0.02749913606346063
6480000,0.02749913606346063
6484000,0.027500094897940787
6484000,0.027500094897940787
6484000,0.027500094897940787
6488000,0.027501051999834943
6488000,0.027501051999834943
6488000,0.027501051999834943
6492000,0.027502007372822372
6492000,0.027502007372822372
6492000,0.027502007372822372
6496000,0.027502961020573907
6496000,0.027502961020573907
6496000,0.027502961020573907
6500000,0.027503912946751953
6500000,0.027503912946751953
6500000,0.027503912946751953
6504000,0.027504863155010523
6504000,0.027504863155010523
6504000,0.027504863155010523
6508000,0.027505811648995245
6508000,0.027505811648995245
6508000,0.027505811648995245
6512000,0.027506758432343403
6512000,0.027506758432343403
6512000,0.027506758432343403
6516000,0.027507703508683923
6516000,0.027507703508683923
6516000,0.027507703508683923
6520000,0.027508646881637421
6520000,0.027508646881637421
6520000,0.027508646881637421
6524000,0.027509588554816222
6524000,0.027509588554816222
6524000,0.027509588554816222
6528000,0.027510528531824348
6528000,0.027510528531824348
6528000,0.027510528531824348
6532000,0.027511466816257588
6532000,0.027511466816257588
6532000,0.027511466816257588
6536000,0.027512403411703475
6536000,0.027512403411703475
6536000,0.027512403411703475
6540000,0.027513338321741319
6540000,0.027513338321741319
6540000,0.027513338321741319
6544000,0.027514271549942244
6544000,0.027514271549942244
6544000,0.027514271549942244
6548000,0.027515203099869177
6548000,0.027515203099869177
6548000,0.027515203099869177
6552000,0.027516132975076893
6552000,0.027516132975076893
6552000,0.027516132975076893
6556000,0.027517061179112012
6556000,0.027517061179112012
6556000,0.027517061179112012
6560000,0.027517987715513056
6560000,0.027517987715513056
6560000,0.027517987715513056
6564000,0.027518912587810404
6564000,0.027518912587810404
6564000,0.027518912587810404
6568000,0.027519835799526392
6568000,0.027519835799526392
6568000,0.027519835799526392
6572000,0.027520757354175258
6572000,0.027520757354175258
6572000,0.027520757354175258
6576000,0.027521677255263215
6576000,0.027521677255263215
6576000,0.027521677255263215
6580000,0.027522595506288432
6580000,0.027522595506288432
6580000,0.027522595506288432
6584000,0.027523512110741083
6584000,0.027523512110741083
6584000,0.027523512110741083
6588000,0.027524427072103352
6588000,0.027524427072103352
6588000,0.027524427072103352
6592000,0.027525340393849441
6592000,0.027525340393849441
6592000,0.027525340393849441
6596000,0.027526252079445618
6596000,0.027526252079445618
6596000,0.027526252079445618
6600000,0.027527162132350201
6600000,0.027527162132350201
6600000,0.027527162132350201
6604000,0.027528070556013612
6604000,0.027528070556013612
6604000,0.027528070556013612
6608000,0.027528977353878367
6608000,0.027528977353878367
6608000,0.027528977353878367
6612000,0.027529882529379109
6612000,0.027529882529379109
6612000,0.027529882529379109
6616000,0.027530786085942626
6616000,0.027530786085942626
6616000,0.027530786085942626
6620000,0.027531688026987869
6620000,0.027531688026987869
6620000,0.027531688026987869
6624000,0.027532588355925959
6624000,0.027532588355925959
6624000,0.027532588355925959
6628000,0.027533487076160233
6628000,0.027533487076160233
6628000,0.027533487076160233
6632000,0.027534384191086232
6632000,0.027534384191086232
6632000,0.027534384191086232
6636000,0.027535279704091739
6636000,0.027535279704091739
6636000,0.027535279704091739
6640000,0.027536173618556786
6640000,0.027536173618556786
6640000,0.027536173618556786
6644000,0.027537065937853683
6644000,0.027537065937853683
6644000,0.027537065937853683
6648000,0.02753795666534703
6648000,0.02753795666534703
6648000,0.02753795666534703
6652000,0.027538845804393738
6652000,0.027538845804393738
6652000,0.027538845804393738
6656000,0.027539733358343046
6656000,0.027539733358343046
6656000,0.027539733358343046
6660000,0.027540619330536534
6660000,0.027540619330536534
6660000,0.027540619330536534
6664000,0.027541503724308154
6664000,0.027541503724308154
6664000,0.027541503724308154
6668000,0.027542386542984229
6668000,0.027542386542984229
6668000,0.027542386542984229
6672000,0.027543267789883502
6672000,0.027543267789883502
6672000,0.027543267789883502
6676000,0.027544147468317109
6676000,0.027544147468317109
6676000,0.027544147468317109
6680000,0.027545025581588643
6680000,0.027545025581588643
6680000,0.027545025581588643
6684000,0.027545902132994144
6684000,0.027545902132994144
6684000,0.027545902132994144
6688000,0.027546777125822122
6688000,0.027546777125822122
6688000,0.027546777125822122
6692000,0.027547650563353586
6692000,0.027547650563353586
6692000,0.027547650563353586
6696000,0.02754852244886204
6696000,0.02754852244886204
6696000,0.02754852244886204
6700000,0.027549392785613531
6700000,0.027549392785613531
6700000,0.027549392785613531
6704000,0.027550261576866637
6704000,0.027550261576866637
6704000,0.027550261576866637
6708000,0.027551128825872497
6708000,0.027551128825872497
6708000,0.027551128825872497
6712000,0.027551994535874841
6712000,0.027551994535874841
6712000,0.027551994535874841
6716000,0.027552858710109977
6716000,0.027552858710109977
6716000,0.027552858710109977
6720000,0.027553721351806854
6720000,0.027553721351806854
6720000,0.027553721351806854
6724000,0.027554582464187023
6724000,0.027554582464187023
6724000,0.027554582464187023
6728000,0.027555442050464715
6728000,0.027555442050464715
6728000,0.027555442050464715
6732000,0.027556300113846799
6732000,0.027556300113846799
6732000,0.027556300113846799
6736000,0.027557156657532847
6736000,0.027557156657532847
6736000,0.027557156657532847
