t_usec,pod_position,pod_velocity,pod_acceleration,he_height,F_aero_x,F_aero_y,F_aero_z,F_brakes_x,F_brakes_y,F_brakes_z,F_gimbals_x,F_gimbals_y,F_gimbals_z,F_hover_engines_x,F_hover_engines_y,F_hover_engines_z,F_lateral_stability_x,F_lateral_stability_y,F_lateral_stability_z,F_landing_gear_x,F_landing_gear_y,F_landing_gear_z
38000,0.017074433876036674,0.86781954624180024,21.687155386215679,0.006,-0.048401474991835766,0,0,-18.472860875351156,0,0,0.0,0.0,0.0,-390.96589115026109,0,380.93245730068224,-0.0084613239085558466,0,0,0.0,0.0,0.0
39000,0.017953083217289553,0.88947913626395947,21.659590022159211,0.006,-0.050914421162114677,0,0,-18.882552349236455,0,0,0.0,0.0,0.0,-400.20134727841423,0,390.65752985724868,-0.0086781954624180029,0,0,0.0,0.0,0.0
40000,0.018853378440553806,0.9111113102645445,21.632174000584985,0.006,-0.053487646213005793,0,0,-19.288829370042269,0,0,0.0,0.0,0.0,-409.38788798763659,0,400.36733269948246,-0.0088947913626395946,0,0,0.0,0.0,0.0
41000,0.019775292203939039,0.93271621650592118,21.604906241376675,0.006,-0.056120926357383631,0,0,-19.691725281110415,0,0,0.0,0.0,0.0,-418.52585819759213,0,410.0618732318847,-0.0091111131026454448,0,0,0.0,0.0,0.0
42000,0.020718797313282359,0.95429400218071569,21.577785674794537,0.006,-0.058814039725156593,0,0,-20.091273033149402,0,0,0.0,0.0,0.0,-427.61559958687332,0,419.74115894628096,-0.0093271621650592128,0,0,0.0,0.0,0.0
43000,0.021683866721083751,0.97584481342206619,21.550811241350541,0.006,-0.061566766343328513,0,0,-20.487505189719748,0,0,0.0,0.0,0.0,-436.65745063122495,0,429.40519742227508,-0.0095429400218071565,0,0,0.0,0.0,0.0
44000,0.022670473525451661,0.99736879531375155,21.523981891685402,0.006,-0.064378888116314245,0,0,-20.880453932630306,0,0,0.0,0.0,0.0,-445.65174664122799,0,439.05399632768211,-0.0097584481342206618,0,0,0.0,0.0,0.0
45000,0.023678590969058638,1.0188660919001988,21.49729658644727,0.006,-0.067250188806505601,0,0,-21.270151067247156,0,0,0.0,0.0,0.0,-454.59881979944936,0,448.68756341893982,-0.0099736879531375153,0,0,0.0,0.0,0.0
46000,0.024708192438106923,1.0403368461963711,21.470754296172231,0.006,-0.070180454015084007,0,0,-21.656628027716629,0,0,0.0,0.0,0.0,-463.49899919706854,0,458.30590654149978,-0.010188660919001988,0,0,0.0,0.0,0.0
47000,0.025759251461303877,1.0617812001975377,21.44435400116652,0.006,-0.073169471163075789,0,0,-22.039915882104189,0,0,0.0,0.0,0.0,-472.35261086998855,0,467.90903363019839,-0.010403368461963712,0,0,0.0,0.0,0.0
48000,0.026831741708847109,1.0831992948889282,21.41809469139039,0.006,-0.07621702947264683,0,0,-22.420045337450588,0,0,0.0,0.0,0.0,-481.15997783443805,0,477.49695270960757,-0.010617812001975377,0,0,0.0,0.0,0.0
49000,0.027925636991419207,1.1045912702552718,21.391975366343647,0.006,-0.079322919948632858,0,0,-22.79704674474689,0,0,0.0,0.0,0.0,-489.92142012207972,0,487.06967189436625,-0.010831992948889282,0,0,0.0,0.0,0.0
50000,0.029040911259191955,1.1259572652902246,21.36599503495281,0.006,-0.0824869353603018,0,0,-23.170950103829824,0,0,0.0,0.0,0.0,-498.63725481462353,0,496.62719938949198,-0.011045912702552719,0,0,0.0,0.0,0.0
51000,0.030177538600839909,1.1472974180056845,21.340152715459897,0.006,-0.085708870223344821,0,0,-23.541785068198866,0,0,0.0,0.0,0.0,-507.30779607795984,0,506.16954349067407,-0.011259572652902245,0,0,0.0,0.0,0.0
52000,0.031335493242563253,1.1686118654409974,21.314447435312758,0.006,-0.088988520782092573,0,0,-23.909580949756688,0,0,0.0,0.0,0.0,-515.93335519581672,0,515.69671258454764,-0.011472974180056845,0,0,0.0,0.0,0.0
53000,0.032514749547119776,1.1899007436720543,21.288878231056934,0.006,-0.09232568499195333,0,0,-24.274366723474007,0,0,0.0,0.0,0.0,-524.51424060295312,0,525.20871514894907,-0.011686118654409975,0,0,0.0,0.0,0.0
54000,0.033715282012865944,1.2111641878202835,21.263444148229119,0.006,-0.095720162502069897,0,0,-24.636171031980567,0,0,0.0,0.0,0.0,-533.05075791788784,0,534.70555975315358,-0.011899007436720543,0,0,0.0,0.0,0.0
55000,0.03493706527280685,1.2324023320615356,21.238144241252048,0.006,-0.09917175463819175,0,0,-24.995022190083382,0,0,0.0,0.0,0.0,-541.54320997518232,0,544.18725505809482,-0.012111641878202834,0,0,0.0,0.0,0.0
56000,0.036180074093655049,1.2536153096348666,21.212977573330875,0.006,-0.10268026438575956,0,0,-25.350948189213661,0,0,0.0,0.0,0.0,-549.99189685727447,0,553.65380981656722,-0.012324023320615357,0,0,0.0,0.0,0.0
57000,0.037444283374898094,1.2748032528512176,21.187943216351002,0.006,-0.10624549637319863,0,0,-25.703976701803526,0,0,0.0,0.0,0.0,-558.39711592587594,0,563.10523287340993,-0.012536153096348666,0,0,0.0,0.0,0.0
58000,0.0387296681478747,1.2959662931019951,21.163040250777374,0.006,-0.10986725685541861,0,0,-26.054135085594055,0,0,0.0,0.0,0.0,-566.75916185294193,0,572.54153316567545,-0.012748032528512176,0,0,0.0,0.0,0.0
59000,0.040036203574859472,1.3171045608675502,21.138267765555092,0.006,-0.113545353697516,0,0,-26.401450387875638,0,0,0.0,0.0,0.0,-575.07832665121305,0,581.96271972277964,-0.012959662931019951,0,0,0.0,0.0,0.0
60000,0.041363864948156026,1.3382181857255617,21.113624858011505,0.006,-0.11727959635867696,0,0,-26.745949349662045,0,0,0.0,0.0,0.0,-583.35489970434321,0,591.36880166663673,-0.013171045608675503,0,0,0.0,0.0,0.0
61000,0.042712627689198465,1.3593072963593213,21.089110633759578,0.006,-0.12106979587627704,0,0,-27.087658409799158,0,0,0.0,0.0,0.0,-591.58916779661558,0,600.75978821177728,-0.013382181857255617,0,0,0.0,0.0,0.0
62000,0.044082467347661088,1.380372020565924,21.064724206602623,0.006,-0.12491576485017543,0,0,-27.426603709009868,0,0,0.0,0.0,0.0,-599.7814151422582,0,610.13568866545063,-0.013593072963593213,0,0,0.0,0.0,0.0
63000,0.045473359600576232,1.4014124852643643,21.040464698440381,0.006,-0.12881731742720046,0,0,-27.762811093875879,0,0,0.0,0.0,0.0,-607.9319234143577,0,619.4965124277112,-0.01380372020565924,0,0,0.0,0.0,0.0
64000,0.046885280251460187,1.4224288165035406,21.016331239176338,0.006,-0.13277426928582398,0,0,-28.096306120757912,0,0,0.0,0.0,0.0,-616.04097177338542,0,628.84226899148985,-0.014014124852643644,0,0,0.0,0.0,0.0
65000,0.048318205229447041,1.443421139470167,20.99232296662635,0.006,-0.13678643762102161,0,0,-28.427114059655107,0,0,0.0,0.0,0.0,-624.1088368953375,0,638.17296794264996,-0.014224288165035405,0,0,0.0,0.0,0.0
66000,0.049772110588430424,1.4643895784965955,20.968439026428502,0.006,-0.14085364112931648,0,0,-28.755259898004862,0,0,0.0,0.0,0.0,-632.13579299949686,0,647.48861896002791,-0.014434211394701671,0,0,0.0,0.0,0.0
67000,0.051246972506212997,1.4853342570685497,20.944678571954213,0.006,-0.14497569999400325,0,0,-29.080768344424104,0,0,0.0,0.0,0.0,-640.12211187582136,0,656.78923181546043,-0.014643895784965956,0,0,0.0,0.0,0.0
68000,0.052742767283663658,1.5062552978327703,20.921040764220567,0.006,-0.14915243587055074,0,0,-29.403663832393033,0,0,0.0,0.0,0.0,-648.06806291196585,0,666.07481637379544,-0.014853342570685497,0,0,0.0,0.0,0.0
69000,0.054259471343882329,1.5271528226045741,20.897524771803781,0.006,-0.15338367187217974,0,0,-29.723970523882389,0,0,0.0,0.0,0.0,-655.97391311994352,0,675.34538259289104,-0.015062552978327703,0,0,0.0,0.0,0.0
70000,0.055797061231372277,1.5480269523753281,20.874129770753896,0.006,-0.1576692325556138,0,0,-30.041712312925043,0,0,0.0,0.0,0.0,-663.83992716243006,0,684.60094052359807,-0.015271528226045741,0,0,0.0,0.0,0.0
71000,0.057355513611219863,1.5688778073198386,20.850854944510623,0.006,-0.16200894390700102,0,0,-30.356912829133218,0,0,0.0,0.0,0.0,-671.66636737871931,0,693.8415003097316,-0.015480269523753282,0,0,0.0,0.0,0.0
72000,0.058934805268281612,1.589705506803659,20.8276994838203,0.006,-0.16640263332800345,0,0,-30.669595441161963,0,0,0.0,0.0,0.0,-679.4534938103327,0,703.06707218802683,-0.015688778073198385,0,0,0.0,0.0,0.0
73000,0.060534913106378596,1.610510169390313,20.804662586653993,0.006,-0.17085012962205287,0,0,-30.979783260119998,0,0,0.0,0.0,0.0,-687.2015642262927,0,712.2776664880829,-0.01589705506803659,0,0,0.0,0.0,0.0
74000,0.062155814147497976,1.6312919128484398,20.781743458126684,0.006,-0.17535126298076917,0,0,-31.287499142928809,0,0,0.0,0.0,0.0,-694.91083414805723,0,721.47329363229312,-0.01610510169390313,0,0,0.0,0.0,0.0
75000,0.063797485531001619,1.6520508541588572,20.758941310417544,0.006,-0.17990586497054087,0,0,-31.592765695630803,0,0,0.0,0.0,0.0,-702.58155687413046,0,730.65396413576354,-0.016312919128484399,0,0,0.0,0.0,0.0
76000,0.065459904512841824,1.6727871095215485,20.736255362691278,0.006,-0.18451376851926338,0,0,-31.895605276647583,0,0,0.0,0.0,0.0,-710.21398350434458,0,739.81968860621703,-0.016520508541588572,0,0,0.0,0.0,0.0
77000,0.067143048464783889,1.6935007943625691,20.713684841020523,0.006,-0.18917480790323513,0,0,-32.196039999989004,0,0,0.0,0.0,0.0,-717.80836296382938,0,748.97047774388716,-0.016727871095215487,0,0,0.0,0.0,0.0
78000,0.068846894873635614,1.7141920233408783,20.691228978309283,0.006,-0.19388881873420691,0,0,-32.494091738413971,0,0,0.0,0.0,0.0,-725.36494202665995,0,758.10634234139866,-0.01693500794362569,0,0,0.0,0.0,0.0
79000,0.070571421340483595,1.7348609103550956,20.668887014217351,0.006,-0.19865563794658428,0,0,-32.78978212654382,0,0,0.0,0.0,0.0,-732.88396533920206,0,767.22729328363675,-0.017141920233408783,0,0,0.0,0.0,0.0
80000,0.07231660557993623,1.7555075685501813,20.646658195085809,0.006,-0.2034751037847799,0,0,-33.083132563929006,0,0,0.0,0.0,0.0,-740.3656754431496,0,776.33334154760371,-0.017348609103550957,0,0,0.0,0.0,0.0
81000,0.074082425419373349,1.7761321103240446,20.624541773863399,0.006,-0.20834705579071378,0,0,-33.374164218069943,0,0,0.0,0.0,0.0,-747.810312798263,0,785.42449820226591,-0.017555075685501815,0,0,0.0,0.0,0.0
82000,0.075868858798202404,1.7967346473340786,20.602537010034002,0.006,-0.21327133479145982,0,0,-33.662898027392885,0,0,0.0,0.0,0.0,-755.21811580481153,0,794.50077440838754,-0.017761321103240447,0,0,0.0,0.0,0.0
83000,0.077675883767121257,1.8173152905036236,20.580643169544945,0.006,-0.21824778288703606,0,0,-33.949354704181339,0,0,0.0,0.0,0.0,-762.58932082572755,0,803.56218141835461,-0.017967346473340785,0,0,0.0,0.0,0.0
84000,0.079503478487387244,1.83787415002836,20.558859524736349,0.006,-0.22327624343833702,0,0,-34.233554737464083,0,0,0.0,0.0,0.0,-769.92416220847133,0,812.60873057598849,-0.018173152905036235,0,0,0.0,0.0,0.0
85000,0.081351621230092735,1.8584113353826313,20.537185354271344,0.006,-0.22835656105520608,0,0,-34.51551839586029,0,0,0.0,0.0,0.0,-777.22287230661493,0,821.64043331634662,-0.0183787415002836,0,0,0.0,0.0,0.0
86000,0.083220290375446898,1.8789269553256984,20.515619943067229,0.006,-0.23348858158464592,0,0,-34.795265730382638,0,0,0.0,0.0,0.0,-784.48568150114977,0,830.65730116551617,-0.018584113353826311,0,0,0.0,0.0,0.0
87000,0.085109464412063712,1.8994211179079259,20.494162582227517,0.006,-0.23867215209916548,0,0,-35.072816577198957,0,0,0.0,0.0,0.0,-791.71281822151821,0,839.65934574039454,-0.018789269553256986,0,0,0.0,0.0,0.0
88000,0.087019121936256119,1.9198939304769007,20.472812568974877,0.006,-0.24390712088526048,0,0,-35.348190560353288,0,0,0.0,0.0,0.0,-798.90450896637515,0,848.64657874846125,-0.018994211179079259,0,0,0.0,0.0,0.0
89000,0.088949241651336317,1.9403454996834857,20.451569206584931,0.006,-0.24919333743202743,0,0,-35.62140709444693,0,0,0.0,0.0,0.0,-806.06097832408977,0,857.61901198754038,-0.019198939304769007,0,0,0.0,0.0,0.0
90000,0.090899802366921967,1.9607759314878066,20.430431804320929,0.006,-0.25453065241990758,0,0,-35.89248538728009,0,0,0.0,0.0,0.0,-813.18244899297736,0,866.57665734555201,-0.019403454996834858,0,0,0.0,0.0,0.0
