t_usec,height
2848000,30652
2852000,30660
2856000,30667
2860000,30675
2864000,30683
2868000,30690
2872000,30698
2876000,30706
2880000,30713
2884000,30721
2888000,30728
2892000,30736
2896000,30743
2900000,30751
2904000,30758
2908000,30766
2912000,30773
2916000,30781
2920000,30788
2924000,30796
2928000,30803
2932000,30810
2936000,30818
2940000,30825
2944000,30832
2948000,30840
2952000,30847
2956000,30854
2960000,30862
2964000,30869
2968000,30876
2972000,30883
2976000,30890
2980000,30898
2984000,30905
2988000,30912
2992000,30919
2996000,30926
3000000,30933
3004000,30940
3008000,30948
3012000,30955
3016000,30962
3020000,30969
3024000,30976
3028000,30983
3032000,30990
3036000,30997
3040000,31004
3044000,31011
3048000,31018
3052000,31025
3056000,31031
3060000,31038
3064000,31045
3068000,31052
3072000,31059
3076000,31066
3080000,31073
3084000,31079
3088000,31086
3092000,31093
3096000,31100
3100000,31107
3104000,31113
3108000,31120
3112000,31127
3116000,31133
3120000,31140
3124000,31147
3128000,31153
3132000,31160
3136000,31167
3140000,31173
3144000,31180
3148000,31186
3152000,31193
3156000,31200
3160000,31206
3164000,31213
3168000,31219
3172000,31226
3176000,31232
3180000,31239
3184000,31245
3188000,31251
3192000,31258
3196000,31264
3200000,31271
3204000,31277
3208000,31283
3212000,31290
3216000,31296
3220000,31302
3224000,31309
3228000,31315
3232000,31321
3236000,31328
3240000,31334
3244000,31340
3248000,31346
3252000,31353
3256000,31359
3260000,31365
3264000,31371
3268000,31377
3272000,31384
3276000,31390
3280000,31396
3284000,31402
3288000,31408
3292000,31414
3296000,31420
3300000,31426
3304000,31432
3308000,31438
3312000,31444
3316000,31450
3320000,31456
3324000,31462
3328000,31468
3332000,31474
3336000,31480
3340000,31486
3344000,31492
3348000,31498
3352000,31504
3356000,31510
3360000,31516
3364000,31522
3368000,31527
3372000,31533
3376000,31539
3380000,31545
3384000,31551
3388000,31557
3392000,31562
3396000,31568
3400000,31574
3404000,31580
3408000,31585
3412000,31591
3416000,31597
3420000,31602
3424000,31608
3428000,31614
3432000,31619
3436000,31625
3440000,31631
3444000,31636
3448000,31642
3452000,31648
3456000,31653
3460000,31659
3464000,31664
3468000,31670
3472000,31675
3476000,31681
3480000,31686
3484000,31692
3488000,31697
3492000,31703
3496000,31708
3500000,31714
3504000,31719
3508000,31725
3512000,31730
3516000,31735
3520000,31741
3524000,31746
3528000,31752
3532000,31757
3536000,31762
3540000,31768
3544000,31773
3548000,31778
3552000,31784
3556000,31789
3560000,31794
3564000,31799
3568000,31805
3572000,31810
3576000,31815
3580000,31820
3584000,31826
3588000,31831
3592000,31836
3596000,31841
3600000,31846
3604000,31852
3608000,31857
3612000,31862
3616000,31867
3620000,31872
3624000,31877
3628000,31882
3632000,31887
3636000,31892
3640000,31897
3644000,31903
3648000,31908
3652000,31913
3656000,31918
3660000,31923
3664000,31928
3668000,31933
3672000,31938
3676000,31943
3680000,31947
3684000,31952
3688000,31957
3692000,31962
3696000,31967
3700000,31972
3704000,31977
3708000,31982
3712000,31987
3716000,31992
3720000,31996
3724000,32001
3728000,32006
3732000,32011
3736000,32016
3740000,32021
3744000,32025
3748000,32030
3752000,32035
3756000,32040
3760000,32044
3764000,32049
3768000,32054
3772000,32059
3776000,32063
3780000,32068
3784000,32073
3788000,32077
3792000,32082
3796000,32087
3800000,32091
3804000,32096
3808000,32101
3812000,32105
3816000,32110
3820000,32114
3824000,32119
3828000,32124
3832000,32128
3836000,32133
3840000,32137
3844000,32142
3848000,32146
3852000,32151
3856000,32155
3860000,32160
3864000,32164
3868000,32169
3872000,32173
3876000,32178
3880000,32182
3884000,32187
3888000,32191
3892000,32196
3896000,32200
3900000,32204
3904000,32209
3908000,32213
3912000,32218
3916000,32222
3920000,32226
3924000,32231
3928000,32235
3932000,32239
3936000,32244
3940000,32248
3944000,32252
3948000,32257
3952000,32261
3956000,32265
3960000,32269
3964000,32274
3968000,32278
3972000,32282
3976000,32287
3980000,32291
3984000,32295
3988000,32299
3992000,32303
3996000,32308
4000000,32312
4004000,32316
4008000,32320
4012000,32324
4016000,32328
4020000,32333
4024000,32337
4028000,32341
4032000,32345
4036000,32349
4040000,32353
4044000,32357
4048000,32361
4052000,32365
4056000,32369
4060000,32373
4064000,32377
4068000,32382
4072000,32386
4076000,32390
4080000,32394
4084000,32398
4088000,32402
4092000,32406
4096000,32410
4100000,32414
4104000,32417
4108000,32421
4112000,32425
4116000,32429
4120000,32433
4124000,32437
4128000,32441
4132000,32445
4136000,32449
4140000,32453
4144000,32457
4148000,32461
4152000,32464
4156000,32468
4160000,32472
4164000,32476
4168000,32480
4172000,32484
4176000,32487
4180000,32491
4184000,32495
4188000,32499
4192000,32503
4196000,32506
4200000,32510
4204000,32514
4208000,32518
4212000,32521
4216000,32525
4220000,32529
4224000,32533
4228000,32536
4232000,32540
4236000,32544
4240000,32547
4244000,32551
4248000,32555
4252000,32558
4256000,32562
4260000,32566
4264000,32569
4268000,32573
4272000,32577
4276000,32580
4280000,32584
4284000,32587
4288000,32591
4292000,32595
4296000,32598
4300000,32602
4304000,32605
4308000,32609
4312000,32612
4316000,32616
4320000,32620
4324000,32623
4328000,32627
4332000,32630
4336000,32634
4340000,32637
4344000,32641
4348000,32644
4352000,32648
4356000,32651
4360000,32655
4364000,32658
4368000,32661
4372000,32665
4376000,32668
4380000,32672
4384000,32675
4388000,32679
4392000,32682
4396000,32685
4400000,32689
